iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,death_rate
HRV,Europe,Croatia,2020-09-08,12081,117,258.857,201,3,2.143,2942.804,28.5,63.055,48.961,0.731,0.522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,NA,5.54,78.49,0.831,0.016637695555003724
CUB,North America,Cuba,2020-09-08,4352,43,45.714,102,1,1.143,384.228,3.796,4.036,9.005,0.088,0.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.78,11326616,110.408,43.1,14.738,9.719,NA,NA,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.777,0.0234375
CUW,North America,Curacao,2020-09-08,102,10,4.857,1,0,0,621.572,60.938,29.599,6.094,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164100,362.644,41.7,16.367,10.068,NA,NA,NA,11.62,NA,NA,NA,NA,78.88,NA,0.00980392156862745
CYP,Europe,Cyprus,2020-09-08,1510,1,3.143,21,0,0,1723.943,1.142,3.588,23.975,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.56,875899,127.657,37.3,13.416,8.563,32415.132,NA,141.171,9.24,19.6,52.7,NA,3.4,80.98,0.869,0.01390728476821192
CZE,Europe,Czech Republic,2020-09-08,28716,560,585.429,437,1,1.857,2681.487,52.293,54.667,40.807,0.093,0.173,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.89,10708982,137.176,43.3,19.027,11.58,32605.906,NA,227.485,6.82,30.5,38.3,NA,6.63,79.38,0.888,0.015217996935506338
COD,Africa,Democratic Republic of Congo,2020-09-08,10232,23,19.429,259,0,0.286,114.246,0.257,0.217,2.892,0,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.59,89561404,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,NA,NA,4.472,NA,60.68,0.457,0.025312744331508992
DNK,Europe,Denmark,2020-09-08,18113,566,161.143,628,1,0.571,3127.135,97.718,27.821,108.422,0.173,0.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.48,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,NA,2.5,80.9,0.929,0.03467123060785071
DJI,Africa,Djibouti,2020-09-08,5388,0,0.143,61,0,0.143,5453.43,0,0.145,61.741,0,0.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.96,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,NA,1.4,67.11,0.476,0.011321455085374908
DMA,North America,Dominica,2020-09-08,20,0,0,0,0,0,277.813,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,71991,98.567,NA,NA,NA,9673.367,NA,227.376,11.62,NA,NA,NA,3.8,75,0.715,0
DOM,North America,Dominican Republic,2020-09-08,99898,565,740.429,1864,19,22,9208.968,52.084,68.255,171.83,1.751,2.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.93,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.736,0.018659032212857113
ECU,South America,Ecuador,2020-09-08,110092,308,-525,10576,52,574.286,6239.961,17.457,-29.757,599.443,2.947,32.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17643060,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01,0.752,0.09606510918141191
EGY,Africa,Egypt,2020-09-08,100041,178,157.429,5541,11,17.143,977.589,1.739,1.538,54.146,0.107,0.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.96,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.696,0.05538729121060365
SLV,North America,El Salvador,2020-09-08,26413,105,84.714,764,0,5.714,4072.183,16.188,13.061,117.789,0,0.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.56,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.674,0.02892515049407489
GNQ,Africa,Equatorial Guinea,2020-09-08,4972,0,4.429,83,0,0,3543.873,0,3.157,59.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1402985,45.194,22.4,2.846,1.752,22604.873,NA,202.812,7.78,NA,NA,24.64,2.1,58.74,0.591,0.0166934835076428
ERI,Africa,Eritrea,2020-09-08,330,0,1.714,0,0,0,93.051,0,0.483,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.3,3546427,44.304,19.3,3.607,2.171,1510.459,NA,311.11,6.05,0.2,11.4,NA,0.7,66.32,0.44,0
EST,Europe,Estonia,2020-09-08,2531,16,22.286,64,0,0,1907.973,12.061,16.8,48.246,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,NA,4.69,78.74,0.871,0.025286448044251283
ETH,Africa,Ethiopia,2020-09-08,59648,976,1073.857,933,15,17.714,518.843,8.49,9.341,8.116,0.13,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.56,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.463,0.01564176502145923
FRO,Europe,Faeroe Islands,2020-09-08,413,0,0.286,0,0,0,8451.857,0,5.847,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48865,35.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.67,NA,0
FLK,South America,Falkland Islands,2020-09-08,13,0,0,0,0,0,3732.415,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.44,NA,0
FJI,Oceania,Fiji,2020-09-08,31,0,0.429,2,0,0,34.581,0,0.478,2.231,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.15,896444,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,NA,2.3,67.44,0.741,0.06451612903225806
FIN,Europe,Finland,2020-09-08,8327,102,34.429,336,1,0.143,1502.874,18.409,6.214,60.642,0.18,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.41,5540718,18.136,42.8,21.228,13.264,40585.721,NA,153.507,5.76,18.3,22.6,NA,3.28,81.91,0.92,0.04035066650654497
FRA,Europe,France,2020-09-08,328980,4203,6850.714,30726,25,13,5040.023,64.391,104.954,470.727,0.383,0.199,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.61,65273512,122.578,42,19.718,13.079,38605.671,NA,86.06,4.77,30.1,35.6,NA,5.98,82.66,0.901,0.09339777494072588
PYF,Oceania,French Polynesia,2020-09-08,711,17,26.286,0,0,0,2531.114,60.519,93.575,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280904,77.324,32.7,7.775,4.593,NA,NA,NA,22.63,NA,NA,NA,NA,77.66,NA,0
GAB,Africa,Gabon,2020-09-08,8608,7,10.714,53,0,0,3867.499,3.145,4.814,23.812,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.67,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,NA,NA,NA,6.3,66.47,0.702,0.006157063197026022
GMB,Africa,Gambia,2020-09-08,3197,0,33.429,99,0,0.429,1322.898,0,13.833,40.966,0,0.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.93,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.46,0.030966531122927746
GEO,Asia,Georgia,2020-09-08,1684,44,28.143,19,0,0,422.142,11.03,7.055,4.763,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.44,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,NA,2.6,73.77,0.78,0.011282660332541567
DEU,Europe,Germany,2020-09-08,252298,1499,1242.714,9329,4,3.857,3011.293,17.891,14.832,111.346,0.048,0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.54,83783945,237.016,46.6,21.453,15.957,45229.245,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.936,0.03697611554590207
GHA,Africa,Ghana,2020-09-08,45012,235,102,283,0,1,1448.591,7.563,3.283,9.108,0,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31072945,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.592,0.006287212298942504
GIB,Europe,Gibraltar,2020-09-08,315,0,4.286,0,0,0,9349.678,0,127.207,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33691,3457.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.93,NA,0
GRC,Europe,Greece,2020-09-08,11663,139,192.286,289,5,3.286,1118.962,13.336,18.448,27.727,0.48,0.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,NA,4.21,82.24,0.87,0.024779216325130755
GRL,North America,Greenland,2020-09-08,14,0,0,0,0,0,246.6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33,56772,0.137,NA,NA,NA,NA,NA,199.941,2.16,NA,NA,NA,NA,71.7,NA,0
GRD,North America,Grenada,2020-09-08,24,0,0,0,0,0,213.297,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112519,317.132,29.4,7.304,5.021,13593.877,NA,243.964,10.71,NA,NA,NA,3.7,72.4,0.772,0
GUM,Oceania,Guam,2020-09-08,1671,52,39.429,15,1,0.714,9900.286,308.088,233.605,88.872,5.925,4.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.93,168783,304.128,31.4,9.551,5.493,NA,NA,310.496,21.52,NA,NA,NA,NA,80.07,NA,0.008976660682226212
GTM,North America,Guatemala,2020-09-08,77828,145,536.286,2862,10,14.571,4344.155,8.094,29.934,159.749,0.558,0.813,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.04,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,NA,NA,76.665,0.6,74.3,0.65,0.03677339774888215
GGY,Europe,Guernsey,2020-09-08,253,1,0.143,13,0,0,3773.191,14.914,2.131,193.879,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05138339920948617
